50000000,0.1839,0.0967,0.1144,0.095,0.0772,0.5398
100000000,0.3941,0.2036,0.2288,0.2163,0.1539,2.246
150000000,0.6103,0.3177,0.3548,0.3364,0.2302,4.0323
200000000,1.2452,0.4343,0.7649,0.699,0.3067,5.8708
250000000,2.8037,0.5547,1.9284,1.8638,0.3837,7.7225
300000000,4.4549,0.6777,3.1681,3.0824,0.4594,9.6209
350000000,6.1602,0.8047,4.4386,4.328,0.5375,11.5426
400000000,7.9337,0.9302,5.1608,5.0989,1.898,12.122
