0,1.8834,0.8179,3.0658,0.7841,0.5104,4.8727,1.3198,0.5659,0.9763,0.4733,0.4029,3.7682,2.5229,1.333,18.6221,9.5616,0.7653,17.3299,1.7363,0.9278,5.7376,5.6011,0.6124,13.4687
0.1,1.8832,0.86,3.0666,0.8239,0.5114,4.8728,1.3194,0.5834,0.977,0.4951,0.4034,3.7681,2.5263,1.4134,18.6151,10.0582,0.7652,17.3298,1.7361,0.9607,5.7368,5.8663,0.6124,13.4689
0.2,1.8837,0.8997,3.0666,0.8638,0.511,4.8728,1.3198,0.5993,0.9761,0.5167,0.4033,3.7677,2.5291,1.4988,18.6135,10.5576,0.7652,17.3297,1.7349,0.9922,5.7398,6.1355,0.6124,13.4686
0.3,1.8844,0.9378,3.0661,0.9032,0.5107,4.8725,1.3198,0.6144,0.9763,0.5382,0.4038,3.7682,2.5146,1.575,18.6307,11.0682,0.7653,17.3295,1.7351,1.0269,5.738,6.3995,0.6124,13.4686
0.4,1.8835,0.9751,3.066,0.9427,0.5108,4.8719,1.3195,0.6289,0.9761,0.56,0.4026,3.7672,2.5284,1.646,18.6374,11.573,0.7652,17.3291,1.7357,1.0611,5.7379,6.6656,0.6123,13.4686
0.5,1.8855,1.0111,3.0658,0.9826,0.5109,4.8715,1.3197,0.6429,0.9766,0.5815,0.4041,3.7673,2.5316,1.7123,18.637,12.074,0.7652,17.3287,1.7356,1.0939,5.7374,6.9303,0.6124,13.4682
0.6,1.8834,1.0466,3.0659,1.0218,0.511,4.8701,1.3199,0.6567,0.9769,0.603,0.4036,3.7672,2.5177,1.7888,18.622,12.5637,0.7653,17.3282,1.735,1.126,5.7446,7.2056,0.6125,13.468
0.7,1.8834,1.0811,3.0661,1.0613,0.5124,4.8694,1.3196,0.6706,0.9767,0.6247,0.4038,3.7671,2.521,1.8527,18.621,13.0637,0.7654,17.3278,1.736,1.1587,5.7383,7.4641,0.6125,13.4675
0.8,1.8837,1.115,3.0659,1.1011,0.5106,4.8688,1.3226,0.684,0.9769,0.646,0.4036,3.7666,2.5178,1.9092,18.6265,13.5671,0.7653,17.3272,1.7364,1.1889,5.7352,7.7252,0.6124,13.4672
0.9,1.8836,1.148,3.0663,1.141,0.5106,4.8676,1.3212,0.6975,0.9771,0.6679,0.4033,3.7662,2.5231,1.9731,18.6232,14.0648,0.7654,17.3262,1.7357,1.2174,5.7393,7.9969,0.6124,13.467
