1.03,1.1653,0.477,2.1561,0.4285,0.3155,2.895,2.1914,0.7513,3.8468,1.8187,0.4594,9.6209
1.1,1.1352,0.4663,1.2917,0.3822,0.3155,2.8946,2.6803,0.7385,2.8077,2.2493,0.4595,9.6209
1.15,1.1048,0.4806,1.119,0.3545,0.3157,2.8949,2.9442,0.7318,2.7584,2.3982,0.4593,9.6209
1.25,1.0725,0.469,0.9504,0.3186,0.3156,2.8944,3.4419,0.7043,2.8491,2.6465,0.4593,9.6209
1.4,1.0345,0.4554,0.8298,0.2869,0.3154,2.8948,4.0794,0.6873,3.0444,2.9344,0.4594,9.6209
1.5,1.0054,0.4308,0.7767,0.2714,0.3153,2.8945,4.4552,0.6775,3.1697,3.0838,0.4595,9.6209
1.6,1.0041,0.4231,0.7364,0.2621,0.3155,2.8949,4.7899,0.6704,3.2823,3.2141,0.4595,9.6209
1.75,1.0263,0.415,0.7063,0.2924,0.3158,2.8945,5.2078,0.6424,3.4316,3.3753,0.4594,9.6209
1.9,1.0484,0.4076,0.6798,0.3219,0.3156,2.8949,5.5987,0.6345,3.5635,3.5117,0.4593,9.6209
2,1.0631,0.4032,0.6651,0.3395,0.3158,2.8949,5.8465,0.6297,3.6462,3.5984,0.4595,9.621
