1.03,1.1653,0.4769,2.1569,0.4285,0.3158,2.8947,1.4209,0.751,3.847,1.8188,0.4594,9.6209
1.1,1.136,0.4661,1.2917,0.3822,0.316,2.8945,1.3948,0.7385,2.8064,2.2482,0.4594,9.621
1.15,1.1398,0.4805,1.1189,0.3544,0.3166,2.8945,1.3792,0.7317,2.7564,2.3963,0.4594,9.6209
1.25,1.1077,0.4689,0.9514,0.3186,0.3158,2.8948,1.3292,0.7034,2.8493,2.6467,0.4593,9.621
1.4,1.0688,0.455,0.8297,0.2869,0.3154,2.8947,1.2944,0.6865,3.0428,2.9329,0.4595,9.6209
1.5,1.036,0.4306,0.777,0.2714,0.3161,2.8951,1.2759,0.6774,3.1687,3.0829,0.4593,9.621
1.6,1.0134,0.4231,0.7365,0.2626,0.3158,2.8949,1.2602,0.6704,3.2803,3.2122,0.4594,9.6209
1.75,0.9923,0.4148,0.7066,0.2923,0.3155,2.895,1.2261,0.6425,3.4314,3.375,0.4593,9.6208
1.9,0.9735,0.4074,0.6799,0.3219,0.3162,2.8945,1.21,0.6348,3.5599,3.5083,0.4593,9.6209
2,0.9612,0.4029,0.665,0.3393,0.3156,2.8951,1.2001,0.6296,3.6439,3.5962,0.4593,9.621
