6.0000,1.1653,0.4769,2.1569,0.4285,0.3158,2.8947
6.0000,1.1360,0.4661,1.2917,0.3822,0.3160,2.8945
5.0000,1.1398,0.4805,1.1189,0.3544,0.3166,2.8945
5.0000,1.1077,0.4689,0.9514,0.3186,0.3158,2.8948
5.0000,1.0688,0.4550,0.8297,0.2869,0.3154,2.8947
4.0000,1.0360,0.4306,0.7770,0.2714,0.3161,2.8951
4.0000,1.0134,0.4231,0.7365,0.2626,0.3158,2.8949
4.0000,0.9923,0.4148,0.7066,0.2923,0.3155,2.8950
4.0000,0.9735,0.4074,0.6799,0.3219,0.3162,2.8945
4.0000,0.9612,0.4029,0.6650,0.3393,0.3156,2.8951
