3.0000,0.0689,0.0225,0.1601,0.0233,0.0180,0.1147
4.0000,0.1344,0.0474,0.3126,0.0470,0.0372,0.2579
4.0000,0.1993,0.0726,0.4523,0.0708,0.0544,0.4098
5.0000,0.2682,0.1003,0.5880,0.0947,0.0715,0.5619
5.0000,0.3323,0.1261,0.7212,0.1184,0.0896,0.7101
5.0000,0.3994,0.1523,0.8438,0.1423,0.1066,0.8818
5.0000,0.4612,0.1784,0.9655,0.1662,0.1256,1.0307
5.0000,0.5283,0.2038,1.0917,0.1900,0.1413,1.2055
5.0000,0.5892,0.2304,1.2049,0.2138,0.1600,1.3622
5.0000,0.6541,0.2559,1.3329,0.2376,0.1763,1.5231
6.0000,0.7229,0.2918,1.4429,0.2614,0.1949,1.6872
6.0000,0.7885,0.3187,1.5136,0.2854,0.2113,1.8818
6.0000,0.8506,0.3453,1.6474,0.3092,0.2290,2.0352
6.0000,0.9146,0.3709,1.7108,0.3331,0.2466,2.2039
6.0000,0.9777,0.3978,1.8633,0.3568,0.2640,2.3791
6.0000,1.0406,0.4246,1.9347,0.3808,0.2802,2.5495
6.0000,1.1022,0.4493,2.0071,0.4046,0.2989,2.7237
6.0000,1.1656,0.4769,2.1561,0.4285,0.3163,2.8947
6.0000,1.2281,0.5027,2.2417,0.4523,0.3355,3.0723
6.0000,1.3270,0.5706,2.3034,0.4756,0.3511,3.2400
6.0000,1.3884,0.5978,2.3313,0.4994,0.3685,3.4236
6.0000,1.4543,0.6268,2.5232,0.5234,0.3866,3.5891
6.0000,1.5180,0.6548,2.6524,0.5473,0.4027,3.7683
6.0000,1.5815,0.6824,2.7568,0.5708,0.4210,3.9836
6.0000,1.6425,0.7088,2.8028,0.5940,0.4376,4.1464
6.0000,1.7025,0.7372,2.8137,0.6180,0.4566,4.3245
6.0000,1.7614,0.7639,2.8233,0.6443,0.4746,4.6475
6.0000,1.8193,0.7893,2.8534,0.7033,0.4913,4.6949
6.0000,1.8835,0.8177,3.0660,0.7844,0.5101,4.8735
