25,126.0747,63.9236,195.7931,39.8909
50,278.0786,149.1286,386.8714,127.3135
75,435.9180,240.6595,572.9979,221.0105
100,592.3545,330.3850,754.1567,314.9450
125,762.6342,430.4306,931.2837,408.9048
150,928.8134,529.2441,1108.5170,502.9082
175,1100.1260,631.7088,1300.1770,596.9565
200,1269.3260,729.9504,1487.2700,691.0612
225,1441.6410,831.7552,1674.8830,785.1627
250,1601.8970,916.5935,1857.5110,879.3262
275,1785.6950,1030.9390,2274.1010,1030.6237
300,1935.9960,1115.3890,3796.9530,1796.1628
325,2112.2020,1222.6400,5815.5920,2814.0973
350,2284.9670,1324.4630,7590.1540,3734.2385
375,2637.9100,1528.2900,11281.8000,5634.2539
400,2808.0600,1633.8800,12998.4000,6578.5942
425,2980.6500,1737.5800,14850.2000,7573.5320
450,3277.1800,1924.8600,16652.9000,8563.2531
500,3343.0300,1937.4500,18590.6000,9551.8652
